Geneid	GeneName	NewName	9_SC1	10_Ssh1	11_SC2	12_Ssh2
ENSG00000165283	STOML2	ENSG00000165283_STOML2	8023	4797	4947	6159
ENSG00000165288	BRWD3	ENSG00000165288_BRWD3	1074	660	538	737
ENSG00000165300	SLITRK5	ENSG00000165300_SLITRK5	345	468	189	453
ENSG00000165304	MELK	ENSG00000165304_MELK	4935	1535	2301	2171
ENSG00000165309	ARMC3	ENSG00000165309_ARMC3	0	0	0	0
ENSG00000165312	OTUD1	ENSG00000165312_OTUD1	586	1112	267	889
ENSG00000165322	ARHGAP12	ENSG00000165322_ARHGAP12	931	905	537	1121
ENSG00000165323	FAT3	ENSG00000165323_FAT3	0	0	0	1
ENSG00000165325	DEUP1	ENSG00000165325_DEUP1	1	0	1	1
ENSG00000165338	HECTD2	ENSG00000165338_HECTD2	314	110	114	135
ENSG00000165349	SLC7A3	ENSG00000165349_SLC7A3	0	0	0	0
ENSG00000165355	FBXO33	ENSG00000165355_FBXO33	644	492	348	731
ENSG00000165359	INTS6L	ENSG00000165359_INTS6L	360	155	192	111
ENSG00000165370	GPR101	ENSG00000165370_GPR101	0	0	0	0
ENSG00000165376	CLDN2	ENSG00000165376_CLDN2	0	0	0	0
ENSG00000165379	LRFN5	ENSG00000165379_LRFN5	0	1	0	0
ENSG00000165383	LRRC18	ENSG00000165383_LRRC18	0	0	0	0
ENSG00000165389	SPTSSA	ENSG00000165389_SPTSSA	1947	1303	983	1535
ENSG00000165392	WRN	ENSG00000165392_WRN	1205	494	589	655
ENSG00000165406	8-Mar	ENSG00000165406_44628	526	547	326	668
ENSG00000165409	TSHR	ENSG00000165409_TSHR	0	1	0	0
ENSG00000165410	CFL2	ENSG00000165410_CFL2	1248	744	661	904
ENSG00000165416	SUGT1	ENSG00000165416_SUGT1	2042	999	1021	1168
ENSG00000165417	GTF2A1	ENSG00000165417_GTF2A1	1778	703	625	798
ENSG00000165424	ZCCHC24	ENSG00000165424_ZCCHC24	281	224	205	325
ENSG00000165434	PGM2L1	ENSG00000165434_PGM2L1	345	205	125	303
ENSG00000165443	PHYHIPL	ENSG00000165443_PHYHIPL	14	10	20	33
ENSG00000165449	SLC16A9	ENSG00000165449_SLC16A9	28	38	24	153
ENSG00000165457	FOLR2	ENSG00000165457_FOLR2	0	0	0	0
ENSG00000165458	INPPL1	ENSG00000165458_INPPL1	3590	3915	2133	2978
ENSG00000165462	PHOX2A	ENSG00000165462_PHOX2A	0	0	0	0
ENSG00000165471	MBL2	ENSG00000165471_MBL2	0	0	0	0
ENSG00000165474	GJB2	ENSG00000165474_GJB2	1305	602	711	971
ENSG00000165475	CRYL1	ENSG00000165475_CRYL1	267	282	211	283
ENSG00000165476	REEP3	ENSG00000165476_REEP3	2172	1714	1118	1831
ENSG00000165478	HEPACAM	ENSG00000165478_HEPACAM	0	0	2	0
ENSG00000165480	SKA3	ENSG00000165480_SKA3	1703	385	667	704
ENSG00000165487	MICU2	ENSG00000165487_MICU2	1223	777	703	907
ENSG00000165490	DDIAS	ENSG00000165490_DDIAS	1568	336	631	791
