"Geneid","GeneName","NewName","X9_SC1","X10_Ssh1","X11_SC2","X12_Ssh2"
"ENSG00000106772","PRUNE2","ENSG00000106772_PRUNE2",4.7672149238631,12.3439518750463,6.68589711990816,7.8525935304294
"ENSG00000106780","MEGF9","ENSG00000106780_MEGF9",24.6963239288848,20.1216451296486,17.7912855563658,15.0579952863729
"ENSG00000106785","TRIM14","ENSG00000106785_TRIM14",64.7696042663204,47.9708048477409,42.7784095383955,47.6764607204642
"ENSG00000106789","CORO2A","ENSG00000106789_CORO2A",18.3878289920434,26.4441570656479,16.8280630899383,25.5856481513442
"ENSG00000106799","TGFBR1","ENSG00000106799_TGFBR1",25.3415109110617,20.8241464558708,24.5905029664419,22.9537349351013
"ENSG00000106803","SEC61B","ENSG00000106803_SEC61B",67.3145084737962,75.7196072335157,90.4862516990961,84.69583022106
"ENSG00000106804","C5","ENSG00000106804_C5",0.358437212320534,0,0.22664058033587,0.0862922365981253
"ENSG00000106809","OGN","ENSG00000106809_OGN",0,0,0,0
"ENSG00000106819","ASPN","ENSG00000106819_ASPN",0,0,0,0
"ENSG00000106823","ECM2","ENSG00000106823_ECM2",0.394280933552587,3.61286396342818,0.963222466427448,2.15730591495313
"ENSG00000106829","TLE4","ENSG00000106829_TLE4",3.79943445059766,3.61286396342818,4.3628311714655,3.53798170052314
"ENSG00000106852","LHX6","ENSG00000106852_LHX6",2.04309211022704,2.96054130336476,1.9264449328549,4.70292689459783
"ENSG00000106853","PTGR1","ENSG00000106853_PTGR1",58.5686404931752,84.4506951451338,54.9603407314485,85.7744831785366
"ENSG00000106868","SUSD1","ENSG00000106868_SUSD1",2.54490420747579,1.70607464939664,1.18986304676332,2.15730591495313
"ENSG00000106927","AMBP","ENSG00000106927_AMBP",0,0,0,0
"ENSG00000106948","AKNA","ENSG00000106948_AKNA",11.5058345154891,10.4873412271735,13.2018138045644,14.7991185765785
"ENSG00000106952","TNFSF8","ENSG00000106952_TNFSF8",0,0,0,0
"ENSG00000106976","DNM1","ENSG00000106976_DNM1",38.1735631121368,35.2254236434248,25.8370261582892,19.3294609979801
"ENSG00000106991","ENG","ENSG00000106991_ENG",0.43012465478464,0.95339465701577,1.24652319184728,2.58876709794376
"ENSG00000106992","AK1","ENSG00000106992_AK1",2.6165916499399,7.22572792685637,2.49304638369457,5.86787208867252
"ENSG00000106993","CDC37L1","ENSG00000106993_CDC37L1",28.6032895431786,27.6484450534573,30.7664587805944,36.5447621993061
"ENSG00000107014","RLN2","ENSG00000107014_RLN2",0,0,0,0.0862922365981253
"ENSG00000107018","RLN1","ENSG00000107018_RLN1",0.0358437212320534,0.10035733231745,0,0
